index,小区名称,所在区域,总价,总价单位,单价,单价单位,房屋年代,户型,楼层,建筑面积,房屋朝向,装修情况,梯户比例,配备电梯,产权年限
0,恒基旭辉发现岛,相城 活力岛 中环至外环,73,万,15209,元/平米,2017年建/板楼,2室1厅1厨1卫,中楼层 (共20层),48㎡,南,毛坯,四梯三十八户,有,40年
1,合景峰汇二期,相城 活力岛 内环至中环,256,万,26748,元/平米,未知年建/板楼,3室2厅1厨2卫,高楼层 (共23层),95.71㎡,南,精装,两梯三户,有,70年
2,玉成家园一期,相城 活力岛 内环至中环,236,万,18016,元/平米,2009年建/板楼,3室2厅1厨2卫,低楼层 (共18层),131㎡,南,精装,两梯四户,有,70年
3,御苑家园B、C区,相城 活力岛 内环至中环,168,万,23334,元/平米,2006年建/板楼,2室1厅1厨1卫,低楼层 (共5层),72㎡,南 北,精装,一梯两户,无,70年
4,西湖君庭,相城 活力岛 内环至中环,235,万,27012,元/平米,2016年建/板楼,3室2厅1厨1卫,中楼层 (共16层),87㎡,南,精装,两梯四户,有,70年
5,御苑家园B、C区,相城 活力岛 内环至中环,228,万,20000,元/平米,2006年建/板楼,3室2厅1厨2卫,中楼层 (共5层),114㎡,南 北,精装,一梯两户,无,70年
6,西湖君庭,相城 活力岛 内环至中环,238,万,26003,元/平米,2016年建/板楼,3室2厅1厨1卫,低楼层 (共16层),91.53㎡,南,精装,一梯四户,有,70年
7,万科北宸之光,相城 活力岛 内环至中环,225,万,26471,元/平米,2019年建/板塔结合,3室2厅1厨1卫,高楼层 (共32层),85㎡,南,精装,两梯三户,有,70年
8,恒基水漾花城,相城 活力岛 内环内,215,万,24668,元/平米,2017年建/塔楼,2室2厅1厨1卫,中楼层 (共30层),87.16㎡,南,精装,两梯四户,有,70年
9,西子花园,相城 元和 内环至中环,189,万,19958,元/平米,2010年建/板楼,3室2厅1厨1卫,低楼层 (共6层),94.7㎡,南,精装,一梯两户,无,70年
10,锦绣江南(相城区),相城 元和 ,195,万,19697,元/平米,2005年建/板楼,2室2厅1厨1卫,高楼层 (共6层),99㎡,南,精装,一梯两户,无,70年
11,西湖君庭,相城 活力岛 内环至中环,235,万,25544,元/平米,2016年建/板楼,3室2厅1厨1卫,低楼层 (共16层),92㎡,南,精装,两梯四户,有,70年
12,星湖花海,相城 元和 内环至中环,220,万,26830,元/平米,2015年建/板楼,3室2厅1厨1卫,低楼层 (共20层),82㎡,南 北,精装,两梯四户,有,70年
13,御亭水岸花园,相城 望亭 ,140,万,17839,元/平米,2011年建/板楼,3室2厅1厨1卫,中楼层 (共5层),78.48㎡,南,精装,一梯两户,无,70年
14,晨曦馨苑,相城 元和 内环至中环,268,万,22149,元/平米,2008年建/板楼,3室2厅1厨2卫,中楼层 (共15层),121㎡,南,精装,一梯三户,有,70年
15,香城颐园,相城 元和 内环内,273,万,25095,元/平米,2011年建/板楼,3室1厅1厨1卫,低楼层 (共11层),108.79㎡,南,精装,一梯两户,有,70年
16,水韵花都家园,相城 活力岛 内环至中环,205,万,23034,元/平米,2011年建/板楼,3室2厅1厨1卫,低楼层 (共15层),89㎡,南 北,毛坯,两梯四户,有,70年
17,康桥溪岸花园,相城 活力岛 内环内,210,万,25812,元/平米,2013年建/板楼,3室1厅1厨1卫,中楼层 (共31层),81.36㎡,南,精装,三梯四户,有,70年
18,南山檀郡,相城 元和 内环内,398,万,30616,元/平米,2012年建/板楼,4室2厅1厨2卫,中楼层 (共6层),130㎡,南 北,精装,一梯两户,无,70年
19,康桥溪岸花园,相城 活力岛 内环内,215,万,26626,元/平米,2013年建/塔楼,3室2厅1厨1卫,中楼层 (共33层),80.75㎡,南,精装,三梯四户,有,70年
20,香城花园一区,相城 元和 ,245,万,17723,元/平米,2012年建/板楼,3室2厅1厨2卫,中楼层 (共11层),138.24㎡,东 西,简装,一梯两户,有,70年
21,香城花园一区,相城 元和 ,215,万,21288,元/平米,2012年建/板楼,2室2厅1厨1卫,中楼层 (共11层),101㎡,东,精装,一梯两户,有,70年
22,首开班芙春天花园,相城 活力岛 内环至中环,322,万,23601,元/平米,2015年建/板楼,4室2厅1厨2卫,高楼层 (共18层),136.44㎡,南,精装,两梯三户,有,70年
23,御苑家园B、C区,相城 活力岛 内环至中环,230,万,18213,元/平米,2006年建/板楼,3室2厅1厨2卫,中楼层 (共17层),126.29㎡,南,精装,两梯四户,有,70年
24,首开班芙春天花园,相城 活力岛 内环至中环,198,万,20413,元/平米,2013年建/板楼,2室2厅1厨1卫,低楼层 (共25层),97㎡,南,毛坯,两梯三户,有,70年
