index,小区名称,所在区域,总价,总价单位,单价,单价单位,房屋年代,户型,楼层,建筑面积,房屋朝向,装修情况,梯户比例,配备电梯,产权年限
0,姚家井二巷,西城 陶然亭 二环内,539,万,151746,元/平米,1990年建/板楼,1室1厅1厨1卫,高楼层 (共6层),35.52㎡,南,其他,一梯四户,无,70年
1,黑窑厂西里,西城 陶然亭 二环内,700,万,145199,元/平米,1970年建/板楼,2室1厅1厨1卫,底层 (共5层),48.21㎡,南 北,精装,一梯三户,无,70年
2,爱民里小区,西城 西四 二环内,669,万,169797,元/平米,1992年建/板楼,1室1厅1厨1卫,中楼层 (共6层),39.4㎡,南,简装,一梯四户,无,70年
3,汽南小区,西城 木樨地 二至三环,726,万,144911,元/平米,1970年建/板楼,2室1厅1厨1卫,底层 (共5层),50.1㎡,南 西 北,简装,一梯四户,无,70年
4,畅柳园,西城 陶然亭 二环内,630,万,96968,元/平米,2003年建/板塔结合,2室1厅1厨1卫,中楼层 (共16层),64.97㎡,东北,简装,三梯十四户,有,70年
5,红居斜街,西城 广安门 二至三环,480,万,101523,元/平米,1997年建/板楼,1室1厅1厨1卫,中楼层 (共6层),47.28㎡,南,精装,一梯三户,无,70年
6,远见名苑,西城 广安门 二至三环,919,万,85251,元/平米,2004年建/板塔结合,2室2厅1厨1卫,低楼层 (共14层),107.8㎡,东 西,精装,一梯两户,有,70年
7,北露园,西城 阜成门 二至三环,510,万,126551,元/平米,1993年建/板楼,1室1厅1厨1卫,顶层 (共6层),40.3㎡,东,精装,一梯五户,无,70年
8,新风南里,西城 马甸 二至三环,1020,万,147613,元/平米,1985年建/板楼,3室1厅1厨1卫,中楼层 (共5层),69.1㎡,南 北,精装,一梯两户,无,70年
9,盆儿胡同62号院,西城 牛街 二环内,635,万,102536,元/平米,1990年建/板楼,2室1厅1厨1卫,低楼层 (共16层),61.93㎡,南,简装,两梯七户,有,70年
10,朗琴园,西城 广安门 二至三环,685,万,116102,元/平米,2002年建/塔楼,1室1厅1厨1卫,中楼层 (共27层),59㎡,西,精装,两梯八户,有,70年
11,月坛北街25号院,西城 月坛 二至三环,820,万,141624,元/平米,1977年建/板楼,3室1厅1厨1卫,中楼层 (共5层),57.9㎡,东 南 北,简装,一梯三户,无,70年
12,西便门外大街,西城 木樨地 二至三环,998,万,118107,元/平米,1955年建/板楼,3室1厅1厨1卫,中楼层 (共4层),84.5㎡,南 北 西,精装,一梯三户,无,70年
13,广安苑一期,西城 天宁寺 二至三环,748,万,103933,元/平米,1999年建/板塔结合,2室1厅1厨1卫,中楼层 (共11层),71.97㎡,南 北,简装,一梯两户,有,70年
14,教场口6号院,西城 六铺炕 二至三环,729,万,133959,元/平米,2003年建/板楼,1室1厅1厨1卫,高楼层 (共6层),54.42㎡,南,简装,一梯三户,无,70年
15,法源寺西里小区,西城 牛街 二环内,585,万,86131,元/平米,1998年建/板楼,2室1厅1厨1卫,中楼层 (共6层),67.92㎡,南 北,简装,一梯四户,无,70年
16,观河锦苑,西城 德胜门 二至三环,1450,万,141161,元/平米,2002年建/板楼,2室1厅1厨1卫,中楼层 (共6层),102.72㎡,南 北,精装,一梯两户,有,70年
17,官园胡同,西城 官园 二环内,793,万,136489,元/平米,1985年建/板楼,2室1厅1厨1卫,顶层 (共6层),58.1㎡,南 北,简装,一梯两户,暂无数据,70年
18,黄寺大街24号院,西城 六铺炕 二至三环,1368,万,144916,元/平米,1999年建/塔楼,3室1厅1厨2卫,高楼层 (共18层),94.4㎡,东南,精装,两梯八户,有,70年
19,右安门内西街甲10号院,西城 右安门内 二环内,499,万,111909,元/平米,1987年建/板楼,1室1厅1厨1卫,低楼层 (共6层),44.59㎡,南,精装,一梯三户,无,70年
20,马连道中里,西城 马连道 二至三环,485,万,108356,元/平米,1996年建/板楼,1室1厅1厨1卫,中楼层 (共6层),44.76㎡,南,精装,一梯四户,无,70年
21,善果胡同1号院,西城 长椿街 二环内,640,万,106863,元/平米,1993年建/板楼,2室1厅1厨1卫,中楼层 (共6层),59.89㎡,南 北,精装,一梯三户,无,70年
