,小区名称,所在区域,房屋年代,户型,楼层,建筑面积,房屋朝向,装修情况,梯户比例,配备电梯,产权年限,位置名称,总价(万),单价(元/平米),建筑类型,楼层总数
0,姚家井二巷,二环内,1990,1室1厅1厨1卫,高楼层 ,35.52㎡,南,其他,一梯四户,无,70年,陶然亭,539.0,151746,板楼,6
1,黑窑厂西里,二环内,1970,2室1厅1厨1卫,底层 ,48.21㎡,南 北,精装,一梯三户,无,70年,陶然亭,700.0,145199,板楼,5
2,爱民里小区,二环内,1992,1室1厅1厨1卫,中楼层 ,39.4㎡,南,简装,一梯四户,无,70年,西四,669.0,169797,板楼,6
3,汽南小区,二至三环,1970,2室1厅1厨1卫,底层 ,50.1㎡,南 西 北,简装,一梯四户,无,70年,木樨地,726.0,144911,板楼,5
4,畅柳园,二环内,2003,2室1厅1厨1卫,中楼层 ,64.97㎡,东北,简装,三梯十四户,有,70年,陶然亭,630.0,96968,板塔结合,16
5,红居斜街,二至三环,1997,1室1厅1厨1卫,中楼层 ,47.28㎡,南,精装,一梯三户,无,70年,广安门,480.0,101523,板楼,6
6,远见名苑,二至三环,2004,2室2厅1厨1卫,低楼层 ,107.8㎡,东 西,精装,一梯两户,有,70年,广安门,919.0,85251,板塔结合,14
7,北露园,二至三环,1993,1室1厅1厨1卫,顶层 ,40.3㎡,东,精装,一梯五户,无,70年,阜成门,510.0,126551,板楼,6
8,新风南里,二至三环,1985,3室1厅1厨1卫,中楼层 ,69.1㎡,南 北,精装,一梯两户,无,70年,马甸,1020.0,147613,板楼,5
9,盆儿胡同62号院,二环内,1990,2室1厅1厨1卫,低楼层 ,61.93㎡,南,简装,两梯七户,有,70年,牛街,635.0,102536,板楼,16
10,朗琴园,二至三环,2002,1室1厅1厨1卫,中楼层 ,59㎡,西,精装,两梯八户,有,70年,广安门,685.0,116102,塔楼,27
11,月坛北街25号院,二至三环,1977,3室1厅1厨1卫,中楼层 ,57.9㎡,东 南 北,简装,一梯三户,无,70年,月坛,820.0,141624,板楼,5
12,西便门外大街,二至三环,1955,3室1厅1厨1卫,中楼层 ,84.5㎡,南 北 西,精装,一梯三户,无,70年,木樨地,998.0,118107,板楼,4
13,广安苑一期,二至三环,1999,2室1厅1厨1卫,中楼层 ,71.97㎡,南 北,简装,一梯两户,有,70年,天宁寺,748.0,103933,板塔结合,11
14,教场口6号院,二至三环,2003,1室1厅1厨1卫,高楼层 ,54.42㎡,南,简装,一梯三户,无,70年,六铺炕,729.0,133959,板楼,6
15,法源寺西里小区,二环内,1998,2室1厅1厨1卫,中楼层 ,67.92㎡,南 北,简装,一梯四户,无,70年,牛街,585.0,86131,板楼,6
16,观河锦苑,二至三环,2002,2室1厅1厨1卫,中楼层 ,102.72㎡,南 北,精装,一梯两户,有,70年,德胜门,1450.0,141161,板楼,6
17,官园胡同,二环内,1985,2室1厅1厨1卫,顶层 ,58.1㎡,南 北,简装,一梯两户,暂无数据,70年,官园,793.0,136489,板楼,6
18,黄寺大街24号院,二至三环,1999,3室1厅1厨2卫,高楼层 ,94.4㎡,东南,精装,两梯八户,有,70年,六铺炕,1368.0,144916,塔楼,18
19,右安门内西街甲10号院,二环内,1987,1室1厅1厨1卫,低楼层 ,44.59㎡,南,精装,一梯三户,无,70年,右安门内,499.0,111909,板楼,6
20,马连道中里,二至三环,1996,1室1厅1厨1卫,中楼层 ,44.76㎡,南,精装,一梯四户,无,70年,马连道,485.0,108356,板楼,6
21,善果胡同1号院,二环内,1993,2室1厅1厨1卫,中楼层 ,59.89㎡,南 北,精装,一梯三户,无,70年,长椿街,640.0,106863,板楼,6
22,三里河一区3号院,二至三环,1999,1室1厅1厨1卫,高楼层 ,66.2㎡,南,简装,两梯十二户,有,70年,月坛,890.0,134442,塔楼,18
23,马甸南村,二至三环,1990,1室1厅1厨1卫,中楼层 ,52.1㎡,南,精装,两梯十八户,有,70年,马甸,758.0,145490,板塔结合,13
24,荣丰2008,二至三环,2007,1室1厅1厨1卫,顶层 ,29.48㎡,北,简装,三梯三十户,有,70年,广安门,450.0,152646,塔楼,16
25,冠英园小区,二环内,1999,2室1厅1厨2卫,低楼层 ,112.2㎡,南 北,简装,两梯两户,有,70年,官园,1332.0,118717,板塔结合,10
26,白菜湾社区,二至三环,1991,2室1厅1厨1卫,中楼层 ,59.82㎡,南 北,简装,一梯两户,无,70年,天宁寺,630.0,105316,板楼,6
27,远见国际公寓,二至三环,2008,1室0厅1厨1卫,低楼层 ,46.61㎡,东,简装,四梯十九户,有,70年,广安门,435.0,93328,塔楼,26
28,双旗杆东里,二至三环,1979,2室1厅1厨1卫,底层 ,52.2㎡,南 北,简装,一梯三户,无,70年,马甸,739.0,141571,板楼,5
29,新德街35号院,二至三环,1980,3室1厅1厨1卫,顶层 ,56.5㎡,南 北,简装,一梯三户,无,70年,德胜门,850.0,150443,板楼,5
30,远见名苑,二至三环,2004,1室0厅1厨1卫,中楼层 ,52.88㎡,东,简装,四梯二十户,有,70年,广安门,479.0,90583,塔楼,24
31,文联宿舍,二至三环,1992,3室1厅1厨1卫,中楼层 ,80.6㎡,西南 北,精装,两梯七户,有,70年,马甸,1150.0,142680,塔楼,20
32,永居东里,二至三环,1980,2室1厅1厨1卫,顶层 ,50.08㎡,南 北,简装,一梯三户,无,70年,天宁寺,449.0,89657,板楼,6
33,自新路,二环内,1978,2室1厅1厨1卫,底层 ,48.6㎡,南 北,简装,一梯三户,暂无数据,70年,右安门内,530.0,109054,板楼,6
34,华远北街,二环内,2001,2室1厅1厨1卫,低楼层 ,71.7㎡,南 北,简装,两梯十四户,有,70年,金融街,950.0,132497,板塔结合,17
35,黄寺大街24号院,二至三环,1995,2室1厅1厨1卫,低楼层 ,59.8㎡,南 北,简装,一梯两户,无,70年,六铺炕,869.0,145318,板楼,6
36,马甸南村,二至三环,1986,2室1厅1厨1卫,中楼层 ,51.1㎡,西,简装,两梯七户,有,70年,马甸,790.0,154599,塔楼,16
37,牛街西里,二环内,2004,1室1厅1厨1卫,低楼层 ,58.27㎡,西南,简装,三梯十二户,有,70年,牛街,475.0,81518,塔楼,20
38,月坛南街北里,二至三环,1984,3室1厅1厨1卫,中楼层 ,73.1㎡,西南,毛坯,两梯八户,有,70年,月坛,899.0,122983,板塔结合,16
39,教场口6号院,二至三环,2003,1室1厅1厨1卫,高楼层 ,51.01㎡,南 北,简装,一梯三户,无,70年,六铺炕,715.0,140169,板楼,6
40,车站西街17号院,二至三环,1992,1室1厅1厨1卫,低楼层 ,47.53㎡,南,简装,一梯四户,无,70年,广安门,460.0,96781,板楼,6
41,五路通北街3号院,二至三环,1978,2室1厅1厨1卫,顶层 ,54.1㎡,南,精装,一梯三户,无,70年,六铺炕,799.0,147690,板楼,5
42,三义西里,二至三环,1986,2室1厅1厨1卫,高楼层 ,63.61㎡,西南,精装,一梯七户,有,70年,马连道,535.0,84107,塔楼,14
43,北欧印象,二至三环,2003,1室0厅1厨1卫,低楼层 ,45.89㎡,西,简装,三梯十二户,有,70年,马连道,435.0,94792,塔楼,25
44,百万庄卯区,二至三环,1955,2室1厅1厨1卫,低楼层 ,59.9㎡,南 北,精装,一梯两户,暂无数据,未知,阜成门,665.0,111019,板楼,3
45,三里河二区B区,二至三环,2000,2室1厅1厨1卫,中楼层 ,78.41㎡,西,精装,两梯十户,有,70年,月坛,1250.0,159419,塔楼,18
46,三里河一区3号院,二至三环,1999,3室1厅1厨2卫,高楼层 ,117.7㎡,东南,简装,两梯十户,有,70年,月坛,1883.0,159984,塔楼,18
47,官园胡同,二环内,1985,2室1厅1厨1卫,高楼层 ,58.1㎡,南 北,精装,一梯两户,暂无数据,70年,官园,770.0,132531,板楼,6
48,似海怡家,二环内,2002,1室1厅1厨1卫,中楼层 ,62.92㎡,西南,简装,三梯十二户,有,70年,牛街,550.0,87413,塔楼,25
49,九和苑,二至三环,2004,2室2厅1厨2卫,高楼层 ,123.65㎡,南 北,精装,两梯两户,有,70年,车公庄,1488.0,120340,板塔结合,13
50,马连道中里,二至三环,1995,2室1厅1厨1卫,高楼层 ,59.18㎡,南,简装,一梯三户,无,70年,马连道,619.0,104597,板楼,6
51,白云观,二至三环,1992,1室1厅1厨1卫,高楼层 ,50.4㎡,西,精装,两梯十四户,有,70年,木樨地,699.0,138691,板楼,11
52,红莲南里,二至三环,1987,3室1厅1厨1卫,中楼层 ,67.98㎡,南 北,简装,一梯三户,无,70年,马连道,630.0,92675,板楼,6
53,新安南里,二环内,1981,2室1厅1厨1卫,中楼层 ,50.59㎡,南,简装,一梯三户,暂无数据,70年,右安门内,556.0,109904,板楼,5
54,德胜里一区,二至三环,1987,2室1厅1厨1卫,中楼层 ,61.2㎡,西南,简装,一梯七户,有,70年,德胜门,865.0,141340,塔楼,18
55,三里河三区,二至三环,1973,2室1厅1厨1卫,顶层 ,51.2㎡,南 北,精装,一梯三户,无,70年,月坛,735.0,143555,板楼,5
56,白纸坊街25号院,二环内,1996,2室1厅1厨1卫,高楼层 ,60.28㎡,东 西,精装,一梯三户,无,70年,右安门内,610.0,101195,板楼,6
57,汽南小区,二至三环,1970,2室1厅1厨1卫,中楼层 ,51.2㎡,西南,精装,一梯四户,无,70年,木樨地,720.0,140625,板楼,5
58,西绒线,二环内,2004,2室1厅1厨1卫,低楼层 ,72.46㎡,南 北,精装,一梯四户,无,70年,西单,920.0,126967,板楼,6
59,鸭子桥北里,二至三环,1980,3室1厅1厨1卫,低楼层 ,57.84㎡,东 西,毛坯,一梯三户,无,70年,天宁寺,488.0,84371,板楼,6
60,清芷园,二环内,2001,4室1厅1厨2卫,中楼层 ,194.14㎡,东 北 南,精装,一梯两户,有,70年,右安门内,2060.0,106109,板塔结合,15
61,牛街东里,二环内,1999,1室1厅1厨1卫,高楼层 ,54.67㎡,南,精装,三梯十二户,有,70年,牛街,495.0,90544,塔楼,20
62,新外大街乙8号院,二至三环,2002,2室1厅1厨1卫,中楼层 ,77.38㎡,南 北,毛坯,一梯两户,无,70年,马甸,1180.0,152495,板楼,7
63,牛街西里,二环内,1999,2室1厅1厨1卫,低楼层 ,74.61㎡,东南,简装,三梯十二户,有,70年,牛街,618.0,82831,塔楼,19
64,车站西街15号院,二至三环,1994,2室1厅1厨1卫,低楼层 ,57.41㎡,南 北,简装,一梯两户,无,70年,广安门,528.0,91971,板楼,6
65,新外大街甲28号,二至三环,1977,2室1厅1厨1卫,顶层 ,47.8㎡,东 西,精装,一梯三户,无,70年,德胜门,740.0,154812,板楼,5
66,小马厂南里,二至三环,1993,2室1厅1厨1卫,中楼层 ,61.71㎡,南 北,简装,一梯三户,暂无数据,70年,广安门,590.0,95609,板楼,6
67,手帕口西一巷,二至三环,1980,2室1厅1厨1卫,底层 ,51.77㎡,南 北,简装,一梯三户,无,70年,广安门,480.0,92718,板楼,5
68,远见名苑,二至三环,2004,1室1厅1厨1卫,低楼层 ,54.86㎡,北,精装,三梯十四户,有,70年,广安门,550.0,100256,塔楼,26
69,前桃园1号,二环内,1984,2室1厅1厨1卫,中楼层 ,58.1㎡,南 北,简装,一梯两户,无,70年,西直门,666.0,114630,板楼,6
70,榆树馆西里,二至三环,1983,2室1厅1厨1卫,中楼层 ,57.5㎡,南 北,简装,一梯三户,无,70年,车公庄,665.0,115653,板楼,6
71,红莲中里,二至三环,1988,1室1厅1厨1卫,低楼层 ,43.56㎡,南,简装,两梯九户,有,70年,马连道,410.0,94124,塔楼,16
72,新风北街,二至三环,1984,3室1厅1厨1卫,中楼层 ,59.8㎡,南 北,简装,一梯三户,无,70年,马甸,895.0,149666,板楼,6
73,双槐里,二环内,1990,1室1厅1厨1卫,中楼层 ,44.26㎡,东,简装,一梯十七户,无,70年,牛街,515.0,116358,板楼,6
74,似海怡家,二环内,2002,1室1厅1厨1卫,中楼层 ,64.92㎡,东北,简装,三梯十二户,有,70年,牛街,532.0,81948,塔楼,25
75,凯迪尚府,二环内,2012,1室1厅1厨1卫,中楼层 ,49.3㎡,东北,精装,两梯五户,有,70年,牛街,599.0,121502,板塔结合,14
76,富明公寓,二环内,1999,3室1厅1厨1卫,中楼层 ,86.2㎡,西南,简装,三梯十二户,有,70年,牛街,760.0,88168,塔楼,25
77,什坊街2号院,二至三环,1999,2室2厅1厨1卫,中楼层 ,95.5㎡,西北,精装,两梯十户,有,70年,六铺炕,1219.0,127644,塔楼,21
78,红莲中里,二至三环,2000,1室1厅1厨1卫,高楼层 ,57.08㎡,东,精装,两梯十二户,有,70年,马连道,499.0,87422,塔楼,18
79,新外大街甲28号,二至三环,1977,3室1厅1厨1卫,顶层 ,59.2㎡,东南 西,简装,一梯三户,无,70年,德胜门,780.0,131757,板楼,5
80,新外大街甲8号院,二至三环,1987,3室1厅1厨1卫,顶层 ,89.8㎡,南 北,精装,一梯两户,无,70年,马甸,1130.0,125836,板楼,6
81,熙府桃园,二环内,2005,2室1厅1厨2卫,底层 ,124.93㎡,南 北,精装,一梯两户,有,70年,西直门,1480.0,118467,板楼,13
82,平原里小区,二环内,1999,2室1厅1厨1卫,低楼层 ,65.46㎡,南 北,简装,两梯两户,有,70年,牛街,640.0,97770,板楼,12
83,中信禧园,二环内,2013,3室2厅1厨2卫,高楼层 ,141.95㎡,南 北,精装,两梯三户,有,70年,陶然亭,2250.0,158507,板塔结合,20
84,龙岳洲,二环内,2003,4室2厅1厨2卫,中楼层 ,210.01㎡,东南 北,精装,一梯三户,暂无数据,70年,六铺炕,2800.0,133327,板楼,6
85,广义街10号院,二环内,1997,2室1厅1厨1卫,低楼层 ,88.26㎡,南 北,简装,一梯三户,无,70年,长椿街,970.0,109903,板楼,6
86,三里河三区,二至三环,1973,2室1厅1厨1卫,中楼层 ,51.6㎡,南 北,精装,一梯三户,无,70年,月坛,760.0,147287,板楼,5
87,小市口胡同3号院,二至三环,1992,2室1厅1厨1卫,底层 ,61.2㎡,南 北,精装,一梯两户,无,70年,六铺炕,825.0,134804,板楼,6
88,北露园,二至三环,1993,3室2厅1厨1卫,中楼层 ,111.1㎡,南 北,简装,一梯三户,无,70年,阜成门,1330.0,119712,板楼,6
89,阜成门北大街,二至三环,1989,3室1厅1厨1卫,中楼层 ,82.7㎡,东 西,精装,一梯七户,有,70年,阜成门,878.0,106167,板塔结合,13
90,百万庄7号院,二至三环,1977,2室1厅1厨1卫,中楼层 ,56.7㎡,东 西,简装,一梯三户,无,70年,阜成门,640.0,112875,板楼,5
91,红山世家,二至三环,2010,2室1厅1厨1卫,高楼层 ,92.02㎡,南 北,精装,两梯四户,有,70年,广安门,940.0,102152,板塔结合,25
92,北安里9号院,二环内,1984,1室1厅1厨1卫,中楼层 ,36.5㎡,南,简装,一梯三户,无,70年,西单,545.0,149316,板楼,6
93,荣丰2008,二至三环,2006,1室0厅1厨1卫,高楼层 ,26.36㎡,东,精装,三梯二十七户,有,70年,广安门,343.0,130122,塔楼,26
94,新外大街乙8号院,二至三环,2002,2室1厅1厨1卫,低楼层 ,77.82㎡,南 北,精装,一梯两户,无,70年,马甸,1220.0,156773,板楼,7
95,观河锦苑,二至三环,2002,3室1厅1厨2卫,低楼层 ,122.31㎡,南 北,精装,一梯两户,有,70年,德胜门,1650.0,134904,板楼,6
96,复兴门外大街,二至三环,1979,3室1厅1厨1卫,中楼层 ,66.2㎡,南 北,简装,两梯十三户,有,70年,木樨地,820.0,123868,板塔结合,12
97,六铺炕三区,二至三环,1982,2室1厅1厨1卫,中楼层 ,65.1㎡,南 北,简装,一梯两户,无,70年,六铺炕,880.0,135177,板楼,6
98,虎坊路小区,二环内,1973,2室1厅1厨1卫,中楼层 ,48.13㎡,东,精装,一梯三户,无,70年,陶然亭,448.0,93082,板楼,5
99,小红庙,二至三环,1983,1室1厅1厨1卫,低楼层 ,41.73㎡,南,简装,一梯三户,无,70年,广安门,417.0,99929,板楼,6
100,红莲南里,二至三环,1980,2室1厅1厨1卫,高楼层 ,54.18㎡,南 北,精装,一梯三户,无,70年,马连道,499.0,92101,板楼,6
101,德胜门西大街64号,二环内,1983,2室1厅1厨1卫,中楼层 ,67.8㎡,南 西,简装,一梯六户,有,70年,新街口,720.0,106195,板楼,12
102,三塔社区,二至三环,1978,2室1厅1厨1卫,中楼层 ,49.7㎡,南,精装,一梯三户,无,70年,阜成门,599.0,120524,板楼,6
103,新康街3号院,二至三环,1982,2室1厅1厨1卫,高楼层 ,58㎡,东 南 西,简装,一梯两户,无,70年,马甸,808.0,139311,板楼,6
104,格调,二至三环,2007,1室1厅1厨1卫,低楼层 ,73㎡,西南,简装,两梯六户,有,70年,马连道,610.0,83562,板塔结合,23
105,新安中里,二环内,2004,2室1厅1厨1卫,中楼层 ,64.69㎡,南 北,简装,一梯两户,无,70年,右安门内,685.0,105890,板楼,7
106,小后仓,二环内,1990,1室1厅1厨1卫,中楼层 ,42.7㎡,东 北,简装,一梯五户,无,70年,官园,525.0,122951,板楼,5
107,阳光丽景,二至三环,2003,1室1厅1厨1卫,低楼层 ,67.73㎡,东北,精装,两梯八户,有,70年,马甸,980.0,144693,塔楼,19
108,畅柳园,二环内,2004,2室1厅1厨1卫,低楼层 ,66.05㎡,南,简装,一梯十七户,有,70年,陶然亭,755.0,114308,板塔结合,14
